key,source,target
D_Item_StringTable/Str_Item_Letter_MaidGossip_05_Content_P3,"And yet, the young heir cruelly and wantonly cast her aside. Likely, he simply did not want his prospective marriage to be ruined.

So, the Tsunekis kicked Sachie out and drove her to some far-off place where they could forget her existence, despite the piece of the family she carried with her.

People say that she was fighting back tears so hard that blood began to trickle from her eyes.","Yine de, genç varis onu acımasızca ve düşüncesizce bir kenara attı. Muhtemelen, sadece müstakbel evliliğinin mahvolmasını istemiyordu.

Böylece, Tsunekiler Sachie'yi kovdular ve onu, ailesinin bir parçasını taşıyor olmasına rağmen, varlığını unutabilecekleri uzak bir yere götürdüler.

İnsanlar, gözyaşlarını o kadar çok tutmaya çalıştığını, gözlerinden kan sızmaya başladığını söylüyor."
D_Item_StringTable/Str_Item_Letter_SacredSword_05_Content_P2,"However... The sacred sword predates even the Inari faith.

If the oldest object was to become the next object of worship, then it should have been the sacred sword.

In other words, if the sacred sword is discovered, it will, without a doubt, undermine the very foundation of local beliefs.","Ancak... Kutsal kılıç, Inari inancından bile daha eski.

Eğer en eski nesne bir sonraki tapınma nesnesi olacaksa, o zaman bu kutsal kılıç olmalıydı.

Başka bir deyişle, eğer kutsal kılıç keşfedilirse, şüphesiz yerel inançların temelini sarsacaktır."
D_Item_StringTable/Str_Item_Letter_TsukumogamiEntry_02_Content_P2,"Though, this did not come without its own inherent problems, as there are numerous records regarding Ebisugaoka's residents suffering from the water dragon's poison.

It's only natural, then, that they would turn to idolization as a device to quell the dragon's anger.
However, despite the popularity of the faith at the time, not of a hint of its legacy remains today.

It just goes to show that even the gods are not exempt from the fickleness of man.","Ancak bu durumun da kendine has sorunları vardı, çünkü Ebisugaoka sakinlerinin su ejderhasının zehrinden muzdarip olduğuna dair çok sayıda kayıt bulunmaktadır.

Bu durumda, ejderhanın öfkesini yatıştırmak için tapınmaya yönelmeleri doğaldır.
Ancak, o dönemde inancın popülerliğine rağmen, bugün mirasının bir izi bile kalmamıştır.

Bu da gösteriyor ki tanrılar bile insanın kararsızlığından muaf değiller."
D_Item_StringTable/Str_Item_Letter_PinRoomMajor_03_Content,"And yet, our mortal world is everchanging. The age of gods has passed, and the powers of heaven have withered.

Such a living sacrifice may no longer suffice to quell the wrath of the deep, so our ancestors saw fit to place a seal of immense power upon the being below.

Upon the water they set a great stone. Now, the being remains sealed away, unable to break free of its prison.","Yine de, ölümlü dünyamız sürekli değişiyor. Tanrıların çağı geçti ve cennetin güçleri soldu.

Böylesi canlı bir kurban, derinliklerin öfkesini dindirmeye artık yetmeyebilir, bu yüzden atalarımız aşağıdaki varlığın üzerine muazzam bir güç mührü yerleştirmeyi uygun gördüler.

Suyun üzerine büyük bir taş koydular. Şimdi, varlık mühürlenmiş durumda, hapishanesinden kurtulamıyor."
D_Item_StringTable/Str_Item_Letter_MarriageSurvey_01_Content_P2,"However, if one were to consider the opposite perspective, the divine being is binding themselves to a vulgar life-form.
What could possibly motivate them to make such a degrading choice?","Ancak, aksi bir bakış açısıyla düşünülürse, ilahi varlık kendini bayağı bir yaşam formuna bağlıyor.
Onları böyle aşağılayıcı bir seçim yapmaya iten şey ne olabilir?"
D_Item_StringTable/Str_Item_Key_MTN_SacredSwordOffering_04_Des,"This brazier was filled with charcoal to help stay warm, until the large crack put an end to that.","Bu mangal, ısınmaya yardımcı olması için odun kömürüyle doldurulmuştu, ta ki o büyük çatlak buna bir son verene kadar."
D_Item_StringTable/Str_Item_Key_OLD_SacredSwordOffering_05,Dad's Old Kitchen Knife,Babanın Eski Mutfak Bıçağı
D_Item_StringTable/Str_Item_Letter_SakuDiary_03_Content_P2,"Mom and Dad are always saying negative things about the shrine, that head priests are obsolete. Even my grandfather says that the tradition of upkeeping Sennensugi Shrine will die with his generation.","Annem ve babam sürekli türbe hakkında olumsuz şeyler söylüyor, baş rahiplerin çağ dışı olduğunu belirtiyorlar. Dedem bile Sennensugi Türbesi'ni koruma geleneğinin kendi nesliyle birlikte öleceğini söylüyor."
D_Item_StringTable/Str_Item_Letter_SakuDiary_05_Content_P1,"Grandpa is saying that he'll let the shrine come to an end after his generation. Not many people bother visiting such a small, insignificant shrine.
It seems nobody wants to go to the effort of coming all the way here to pray to Inari-sama.","Dedem, kendi neslinden sonra türbenin sona ermesine izin vereceğini söylüyor. Zaten pek çok kişi böyle küçük, önemsiz bir türbeyi ziyaret etme zahmetine girmiyor.
Görünüşe göre kimse Inari-sama'ya dua etmek için buraya kadar gelmek istemiyor."
D_Item_StringTable/Str_Item_Letter_FoxShapeOrigami,Fox Origami,Tilki Origamisi
D_Item_StringTable/Str_Item_Letter_TownDoctorNote_07_Content_P2,"Foxes by nature are not aggressive, but just like wild dogs, they carry diseases such as rabies, tetanus, and echinococcosis to name just a few.
The town committee should send out warnings to ensure people don't get unnecessarily close to them.","Tilkiler doğaları gereği saldırgan değildir, ancak tıpkı vahşi köpekler gibi, kuduz, tetanos ve kist hidatik gibi hastalıkları taşırlar, sadece birkaçını saymak gerekirse.
Belediye komitesi, insanların gereksiz yere onlara yaklaşmasını önlemek için uyarılar göndermelidir."
D_Item_StringTable/Str_Item_Key_THS_FoxBadge,Fox Mask Crest,Tilki Maskesi Arması
D_Item_StringTable/Str_Item_Key_THS_FoxBadge_Des,"A badge with something carved onto it, looks like a fox mask.","Üzerinde bir şeyler oyulmuş bir rozet, bir tilki maskesine benziyor."
D_Item_StringTable/Str_Item_Key_OCR_StoneOrb,Stone Orb,Taş Küre
D_Item_StringTable/Str_Item_Letter_ClassLog_01_Content_P3,"I believe that every single student in our class has things they excel in, as well as things they could stand to work on.

In my view, the purpose of a class president is to help others with their shortcomings so we can make school an enjoyable place for everyone.

Nishida Rinko","Sınıfımızdaki her öğrencinin hem çok iyi olduğu şeyler hem de üzerinde çalışması gereken şeyler olduğuna inanıyorum.

Bana göre, bir sınıf başkanının amacı, başkalarının eksikliklerine yardımcı olmak ve böylece okulu herkes için keyifli bir yer haline getirmektir.

Nishida Rinko"
D_Item_StringTable/Str_Item_Letter_ContactBook_01_Content,"Just a note.

As Sakuko's mother, I want to thank you for teaching my daughter.

I wanted to apologize for what happened the other day on the field trip. It seems Sakuko caused a lot of trouble.","Sadece bir not.

Sakuko'nun annesi olarak, kızıma öğretmenlik yaptığınız için teşekkür etmek istiyorum.

Geçen gün gezide yaşananlar için özür dilemek istedim. Görünüşe göre Sakuko bir sürü sorun çıkarmış."
D_Item_StringTable/Str_Item_Letter_ClassLog_03_Content_P1,"Comments from the Teacher:

Thank you for always fulfilling your duties as class president.

You do a great job looking after and supporting your classmates. I've also heard you're taking the initiative to give advice to underclassmen as well.","Öğretmenden yorumlar:

Sınıf başkanı olarak görevlerinizi her zaman yerine getirdiğiniz için teşekkür ederim.

Sınıf arkadaşlarınızla ilgilenme ve onları destekleme konusunda harika bir iş çıkarıyorsunuz. Ayrıca alt sınıf öğrencilerine de tavsiye verme konusunda inisiyatif aldığınızı duydum."
D_Item_StringTable/Str_Item_Letter_ScrunchedNote_Content_P2,"Now that I think about it, you taught me all the emotions children are supposed to learn during childhood. If not for you, I might have stayed a big fish, content in my happy little pond.","Şimdi düşününce, çocukların çocukluklarında öğrenmesi gereken tüm duyguları bana sen öğrettin. Sen olmasaydın, mutlu küçük havuzumda yaşayan büyük bir balık olarak kalabilirdim."
D_Item_StringTable/Str_Item_Letter_ToHinako_03_Content_P1,"When I think about it, I guess my family was pretty well-off.
I always got tons of allowance.
The candy store was where I could demonstrate just how much better I was than you all.","Düşününce, sanırım ailem oldukça varlıklıydı.
Her zaman bolca harçlık alırdım.
Şekerci dükkanı, hepinizden ne kadar üstün olduğumu gösterebileceğim yerdi."
D_Item_StringTable/Str_Item_Letter_GorgeousReelB_04_Content,"The cocoon you will be.
The silk we shall spin.","Olacağın kozasın.
İpeği biz bükeceğiz."
D_Item_StringTable/Str_Item_Key_SMZ_GasPipe,Propane Tube,Propan Tüpü
D_Item_StringTable/Str_Item_Key_OLD_SacredSwordOffering_02,Rusted Flask,Paslı Matara
D_Item_StringTable/Str_Item_Letter_OldNote_Des,An old note written using brush and ink. This style of writing can only come from a well-practiced hand.,Fırça ve mürekkep kullanılarak yazılmış eski bir not. Bu yazı stili ancak iyi eğitimli bir elden çıkabilir.
D_Item_StringTable/Str_Item_Letter_WarningNote_Des,Neat handwriting on an old piece of paper. Reading it sends a shiver down my spine.,Eski bir kağıt parçası üzerine düzgün bir el yazısıyla yazılmış. Okurken sırtımdan aşağı bir ürperti iniyor.
D_Item_StringTable/Str_Item_Letter_BrokenTablet_Des,"A letter written with characters and phrases that seem centuries old. The paper itself, however, appears brand-new.",Yüzyıllar öncesine ait karakterler ve ifadelerle yazılmış bir mektup. Ancak kağıdın kendisi yepyeni görünüyor.
D_Item_StringTable/Str_Item_Letter_MayumiLetter_Des,A half-finished letter. It appears to have been written with a fountain pen.,Yarım kalmış bir mektup. Dolma kalemle yazılmış gibi görünüyor.
D_Item_StringTable/Str_Item_Letter_MarriageSurvey_Des,"A statement reflecting on marriage between gods and humans, seemingly written from personal experience. It appears to have been written with a fountain pen.","Tanrı ve insanlar arasındaki evliliği yansıtan, görünüşe göre kişisel deneyimlerden yola çıkarak yazılmış bir ifade. Dolma kalemle yazılmış gibi görünüyor."
D_Item_StringTable/Str_Item_Letter_TownDoctorNote_03_Content,"There are numerous tales of those who blaspheme against the Inari faith being possessed by the fox.

These tales have no quantitative scientific basis, of course. However, I want to try my best to avoid outright refuting tradition and local beliefs.","İnari inancına küfredenlerin tilki tarafından ele geçirildiğine dair sayısız hikaye vardır.

Elbette, bu hikayelerin nicel bir bilimsel dayanağı yoktur. Ancak, geleneği ve yerel inanışları açıkça çürütmekten kaçınmak için elimden geleni yapmak istiyorum."
D_Item_StringTable/Str_Item_Letter_TsukumogamiEntry_01_Content_P4,"It's not hard to surmise that some shameless individuals put a religious spin on the noxious leaks to turn a profit, and falsified connections using famous literature to solidify their claim.",Bazı utanmaz kişilerin kâr elde etmek için zehirli sızıntılara dini bir kılıf uydurduğu ve iddialarını sağlamlaştırmak için ünlü edebiyatı kullanarak sahte bağlantılar kurduğu kolayca anlaşılabilir.
D_Item_StringTable/Str_Item_Letter_LetterMen_01_Des,This looks like a reply to the letter with the pressed flower...,"Bu, preslenmiş çiçekli mektuba bir yanıt gibi görünüyor..."
D_Item_StringTable/Str_Item_Letter_BoyNote,Note from a Male Student,Erkek Öğrencinin Notu
D_Item_StringTable/Str_Item_Oma_Snake_Des,"Will automatically perform a Counter when the visual hint appears, but consumes Max Sanity when it is activated. When equipping, Sanity will also recover at a slower rate.","Görsel ipucu belirdiğinde otomatik olarak bir Karşı Saldırı gerçekleştirir, ancak etkinleştirildiğinde Maksimum Akıl Sağlığını tüketir. Kuşanıldığında, Akıl Sağlığı da daha yavaş bir oranda iyileşir."
D_Item_StringTable/Str_Item_Letter_RinkoSecretDiary_01_Content_P2,"I remember how I organized everyone from class to go to Chizuruya together after school. We chatted as we walked, then went our separate ways home.

The walk to the store was painfully short. Still, having just a few extra minutes that I could spend with Shu outside of school was all I could have asked for.","Sınıftan herkesi okuldan sonra birlikte Chizuruya'ya gitmek için nasıl organize ettiğimi hatırlıyorum. Yürürken sohbet ettik, sonra evlerimize dağıldık.

Dükkana yürüyüş acı verici derecede kısaydı. Yine de, okul dışında Shu ile geçirebileceğim sadece birkaç dakika daha olması isteyebileceğim her şeydi."
D_Item_StringTable/Str_Item_Letter_LocalNews_02_Content_P2,"Rumors that these events are being caused by Inari-sama's curse have been spreading among the more religiously-minded of the elderly population. However, the Prefectural Disaster Prevention Division is urging residents to treat such rumors as superstition and instead prepare for any potential disasters ahead.","Bu olaylara Inari-sama'nın lanetinin neden olduğuna dair söylentiler, özellikle yaşlı nüfusun daha dindar kesimleri arasında yayılıyor. Ancak, İl Afet Önleme Bölümü, sakinleri bu tür söylentilere batıl inanç olarak yaklaşmaya ve bunun yerine gelecekteki olası afetlere hazırlanmaya çağırıyor."
D_Item_StringTable/Str_Item_Letter_LetterBundle_01_Content,"When I look upon the moon, I cannot help but be reminded of your graceful form.
Oh, how blessed I would be if we were gazing at the same moon right now.

Awaiting your answer is nothing short of pure bliss.","Aya baktığımda, zarif vücudunu hatırlamadan edemiyorum.
Ah, şu anda aynı aya bakıyor olsaydık ne kadar da mutlu olurdum.

Cevabını beklemek, tam bir mutluluktan başka bir şey değil."
D_Item_StringTable/Str_Item_Letter_BoyDiaryB_04_Content_P2,"Whenever I close my eyes, all I see is you.

I haven't gotten a wink of sleep in days. I keep doubting my own sanity.

You're the only one who can save me from this sweet yet wretched hell.
You're so precious to me, so lovely... but I can't forgive you for putting me through all this heartache.

Hinako Hinako Hinako Hinako Hinako Hinako","Gözlerimi her kapattığımda, tek gördüğüm sensin.

Günlerdir gözümü bile kırpmadım. Kendi aklımdan şüphe duymaya başladım.

Beni bu tatlı ama sefil cehennemden kurtarabilecek tek kişi sensin.
Benim için çok değerlisin, çok güzelsin... ama bana bu kadar kalp ağrısı çektirdiğin için seni affedemiyorum.

Hinako Hinako Hinako Hinako Hinako Hinako"
D_Item_StringTable/Str_Item_Letter_ToSantaClaus_Des,"I loved playing Space Wars, and so I asked for a raygun for Christmas. I ended up getting a girly coloring book.","Uzay Savaşları oynamayı çok severdim ve bu yüzden Noel için bir lazer tabancası istemiştim. Sonunda, kız çocuklarına uygun bir boyama kitabı aldım."
D_Item_StringTable/Str_Item_Oma_Swordfish_Des,"After countering an attack, Stamina will not be consumed for a set time.","Bir saldırıyı savuşturduktan sonra, belirli bir süre boyunca Dayanıklılık tüketilmeyecek."
D_Item_StringTable/Str_Item_Oma_Mantis_Des,Slightly restores Health after each successful Counter.,Her başarılı Karşı Saldırı sonrası az miktarda Can yeniler.
D_Item_StringTable/Str_Item_Oma_Dolphin_Des,Slightly restores current Max Sanity after a Perfect Dodge.,Mükemmel bir Kaçıştan sonra mevcut Maksimum Akıl Sağlığını hafifçe geri kazandırır.
D_Item_StringTable/Str_Item_Key_WHL_MarkKeySaku,The White Rabbit Emblem Key,Beyaz Tavşan Amblemli Anahtar
D_Item_StringTable/Str_Item_Key_THS_WSparrowBadge,White Sparrow Crest,Beyaz Serçe Nişanı
D_Item_StringTable/Str_Item_Key_THS_WSparrowBadge_Des,"A badge with something carved onto it, looks like a white sparrow.","Üzerine bir şeyler oyulmuş bir rozet, beyaz bir serçeye benziyor."
D_Item_StringTable/Str_Item_Key_SMZ_Block_001,White Bird and Fox Plate,Beyaz Kuş ve Tilki Plakası
D_Item_StringTable/Str_Item_Key_HoteiSama,Hotei-sama Sitting Cross-legged,Bağdaş Kuran Hotei-sama
D_Item_StringTable/Str_Item_Key_SMZ_Frame,Picture Frame,Resim Çerçevesi
D_Item_StringTable/Str_Item_Letter_OldHoshopaper_Des,"A sheet of very fine, old paper. What it says must be of some significance to have been written on such expensive paper.","Çok kaliteli, eski bir kâğıt parçası. Bu kadar pahalı bir kâğıda yazıldığına göre, yazdığı şeyin bir önemi olmalı."
D_Item_StringTable/Str_Item_Key_OLD_SacredSwordOffering_02_Des,"An antique portable thermos bottle.
The glass container inside is broken, so this is no longer usable.","Antika bir taşınabilir termos şişesi.
İçindeki cam hazne kırık, bu yüzden artık kullanılamaz."
D_Item_StringTable/Str_Item_Letter_WordCard_02_Content,"That's what I said to you,
when I saw you so scared.","Sana bunu söylemiştim,
çok korktuğunu gördüğümde."
D_Item_StringTable/Str_Item_Letter_RinkoSecretDiary_04_Content_P2,"I don't care how it happens. She can die in an accident. Or of some rare disease. Hell, she can just move to some far-off country for all I care.

I just want her GONE. FOREVER.
Won't any of the gods answer my prayers?!","Nasıl olduğunun önemi yok. Bir kazada ölebilir. Ya da nadir bir hastalıktan. Cehenneme kadar yolu var, isterse çok uzak bir ülkeye taşınsın, umurumda değil.

Tek istediğim YOK OLMASI. SONSUZA DEK.
Tanrılardan hiçbiri dualarıma cevap vermeyecek mi?!"
D_Item_StringTable/Str_Item_Letter_ToSmallHinako_Des,A letter written in Sakuko's handwriting.,Sakuko'nun el yazısıyla yazılmış bir mektup.
D_Item_StringTable/Str_Item_Letter_ToHinako_00_Des,Looks like Rinko's handwriting...,Rinko'nun el yazısı gibi...
D_Item_StringTable/Str_Item_Letter_ScrunchedLetter_02_Content_P1,"Sorry, I know this must seem like it's coming out of nowhere, but...

What exactly is Hinako to you?
Are you two just friends? Or are you more than friends?

I want you to tell me the tru—

(The writing stops here.)","Üzgünüm, biliyorum bu birdenbire ortaya çıkmış gibi gelebilir, ama...

Hinako senin için tam olarak ne ifade ediyor?
Siz sadece arkadaş mısınız? Yoksa arkadaştan öte misiniz?

Bana gerçeği söylemeni istiyorum—

(Yazı burada aniden kesiliyor.)"
D_Item_StringTable/Str_Item_Letter_ScrunchedLetter_01_Content_P1,"Sorry for writing you a letter out of the blue!

I know we could just talk at school, but when I'm around you, I always end up beha—

(Whoever wrote it stopped here.)","Birdenbire sana mektup yazdığım için üzgünüm!

Biliyorum okulda konuşabilirdik ama senin yanındayken hep davra—

(Kim yazdıysa burada durmuş.)"
D_Item_StringTable/Str_Item_Key_SwordNotePicture_01,Research Journal Photo 1,Araştırma Günlüğü Fotoğrafı 1
D_Item_StringTable/Str_Item_Key_SwordNotePicture_03,Research Journal Photo 3,Araştırma Günlüğü Fotoğraf 3
D_Item_StringTable/Str_Item_Key_SwordNotePicture_02,Research Journal Photo 2,Araştırma Günlüğü Fotoğrafı 2
D_Item_StringTable/Str_Item_Key_SwordNotePicture_05,Research Journal Photo 5,Araştırma Günlüğü Fotoğraf 5
D_Item_StringTable/Str_Item_Key_SwordNotePicture_04,Research Journal Photo 4,Araştırma Günlüğü Fotoğraf 4
D_Item_StringTable/Str_Item_Con_FaithA_Des,Fried tofu that became too hard and dry to be edible. Oinari-sama's favorite Offering. ,Yenilebilir olmaktan çıkacak kadar sert ve kuru hale gelmiş kızarmış tofu. Oinari-sama'nın favori Adak'ı.
D_Item_StringTable/Str_Item_Letter_TreasureHuntNote_02_Content,"KABOOOOM!
You got blown to smithereens by my doo-doo bomb and died.

Anyone with half a brain would know this would be a trap!","KABUUUUUM!
Benim kaka bombam tarafından havaya uçuruldun ve öldün.

Aklı olan herkes bunun bir tuzak olduğunu anlardı!"
D_Item_StringTable/Str_Item_Key_CMN_UpgradeEma,Ema,Ema
D_Item_StringTable/Str_Item_Letter_PinRoomMajor_04_Content,"Upon the rock our ancestors built a shrine, naming it ""Heaven's Benediction"" so it could serve as a sanctuary for our clan.

When Heaven's Benediction falls, the wrath of the depths shall rage against the heavens themselves, and both man and land shall face calamity.","Atalarımız kayanın üzerine bir türbe inşa etti ve ona klanımız için bir sığınak olması amacıyla ""Cennetin Takdisi"" adını verdi.

Cennetin Takdisi düştüğünde, derinliklerin gazabı gökyüzüne karşı yükselecek ve hem insan hem de toprak felaketle karşı karşıya kalacak."
D_Item_StringTable/Str_Item_Letter_Prescription_02_Content_P3,"As my grandmother always said, you can greatly improve the flow of someone's chi simply by listening to their troubles and empathizing with them.

Hinako was thrilled with the medicine I gave her and said it worked wonders, but the truth is that wasn't the medicine alone.

I want to hear out all her troubles and concerns. I mean, that's my job as her partner, right?","Büyükannemin her zaman dediği gibi, birinin sorunlarını dinleyip onlarla empati kurarak, o kişinin çisini büyük ölçüde iyileştirebilirsiniz.

Hinako ona verdiğim ilaçtan çok memnundu ve harikalar yarattığını söyledi, ama gerçek şu ki, tek başına ilaç değildi.

Tüm sorunlarını ve endişelerini dinlemek istiyorum. Yani, onun partneri olarak bu benim görevim, değil mi?"
D_Item_StringTable/Str_Item_Letter_GorgeousReelB_06_Content,"Celebrate, once and for all.
May you live happily ever after.
May we all thrive for eternity.","Kutlayın, sonsuza dek.
Sonsuza dek mutlu yaşayın.
Hepimiz sonsuza dek gelişelim."
D_Item_StringTable/Str_Item_Letter_AnonymousNote,Strange Note,Garip Not
D_Item_StringTable/Str_Item_Letter_MarriageSurvey_03_Content,"It is a core tenet of Shintoism that each land throughout all Japan is protected by its own deities.

From this, people pray to the gods so that they and their lands might be blessed. In turn, their belief strengthens the gods and gives them the ability to better protect the land in a beneficial cycle of reciprocation.","Şintoizmin temel bir ilkesi, tüm Japonya'daki her toprak parçasının kendi tanrıları tarafından korunmasıdır.

Bundan dolayı insanlar, kendilerinin ve topraklarının kutsanması için tanrılara dua ederler. Buna karşılık, inançları tanrıları güçlendirir ve onlara, karşılıklı fayda sağlayan bir döngü içinde toprağı daha iyi koruma yeteneği verir."
D_Item_StringTable/Str_Item_Key_WHL_Comic,Brainiac Hero Comic.,Brainiac Kahramanı Çizgi Romanı.
D_Item_StringTable/Str_Item_Con_FoodB,Inari Sushi,İnari Suşi
D_Item_StringTable/Str_Item_Key_OCR_DoorParts_Des,A sculpture in the image of the god Inari. It looks like it might fit somewhere.,İnari tanrısı şeklinde bir heykel. Bir yere uyacak gibi duruyor.
D_Item_StringTable/Str_Item_Letter_FromKoto_Content_P4,"Imagine such a scene. A full-grown man, eating snacks with children.

While I was rather embarrassed, I felt like I had regained part of my lost childhood.

I intend to become reacquainted with my inner child, discover my own dreams, and live life to the fullest.

And once I have done so, I hope to reevaluate my feelings for you.","Böyle bir sahne hayal et. Koca bir adam, çocuklarla atıştırmalık yiyor.

Biraz utanmış olsam da, kayıp çocukluğumun bir kısmını geri kazanmış gibi hissettim.

İçimdeki çocukla yeniden tanışmaya, kendi hayallerimi keşfetmeye ve hayatı dolu dolu yaşamaya niyetliyim.

Ve bunu yaptıktan sonra, senin için olan hislerimi yeniden değerlendirmeyi umuyorum."
D_Item_StringTable/Str_Item_Letter_RinkoDiaryA_03_Content_P3,"And that poor-as-dirt Hinako? All it took was one piece of cheap candy to have her following me around like a dog.
It's almost cute how stupid she is.

A cockroach like her deserves to die!","Peki o beş para etmez Hinako? Peşime köpek gibi takılması için tek bir ucuz şeker yeterli oldu.
Ne kadar aptal olduğu neredeyse sevimli.

Onun gibi bir hamam böceği ölmeyi hak ediyor!"
D_Item_StringTable/Str_Item_Oma_Daisy_Des,"Sanity and Stamina are unlimited, but Hinako will die instantly from any physical damage.","Akıl sağlığı ve Dayanıklılık sınırsızdır, ancak Hinako herhangi bir fiziksel hasardan anında ölecektir."
D_Item_StringTable/Str_Item_Letter_PotionRoomEntry_Content,"Agura no Hotei-sama bestows unto us the blessing of crimson water.

This blessing can be found deep beneath the sacred mountain, where spring water pools to infuse with benison herbs. Its medicinal properties, unlike any other, are the bounty of many moons of steeping.

The power imbued to the crimson water shall eradicate even the most wicked evil.
But beware, for its frightful potency makes it unsuitable for the purification of mortals.

Only for the excision of ancient evil shall it be used.","Agura no Hotei-sama bize kızıl suyun lütfunu bahşeder.

Bu lütuf, kutsal dağın derinliklerinde, şifalı otlarla karışmak için kaynak suyunun toplandığı yerde bulunur. Eşi benzeri olmayan şifalı özellikleri, uzun aylar süren demlemenin bir armağanıdır.

Kızıl suya yüklenen güç, en kötü kötülüğü bile yok edecektir.
Ancak dikkatli olun, çünkü korkunç gücü onu ölümlülerin arınması için uygunsuz hale getirir.

Sadece kadim kötülüğün ortadan kaldırılması için kullanılmalıdır."
D_Item_StringTable/Str_Item_Con_Capsule,Red Capsules,Kırmızı Kapsüller
D_Item_StringTable/Str_Item_Letter_RinkoDiaryB_06_Content_P2,"But I've let everything sit and fester. And now, the wound has turned necrotic.

So even though this is the day all my wildest dreams are coming true, my heart still feels heavy.","Ama her şeyin oturmasına ve iltihaplanmasına izin verdim. Ve şimdi yara nekroza döndü.

Bu, en çılgın hayallerimin gerçekleştiği gün olsa bile, kalbim hala ağır hissediyor."
D_Item_StringTable/Str_Item_Letter_RinkoDiaryB_07_Content_P1,"How arrogant I've been.

I realize now that the hatred and envy I felt towards Hinako for having a boy who loved her far outweighed my own love for Shu.","Ne kadar da kibirliymişim.

Şimdi fark ediyorum ki Hinako'ya, onu seven bir erkek arkadaşı olduğu için duyduğum nefret ve kıskançlık, Shu'ya duyduğum sevgiden çok daha fazlaymış."
D_Item_StringTable/Str_Item_Letter_SacredSword_01_Content_P2,"It appears that the barrier works by creating a spiritual harmony that inhibits the sword's animosity.

Harmony? Yin and yang? The five elements of wuxing?
During this period, it was thought that everything was composed of five elements: wood, fire, earth, metal, and water. Therefore, ""five"" was a number associated with harmony. In other words, there should be five Jizo statues.

Are five such statues located in this town? I expect tracking them down will prove a tremendous task.","Görünüşe göre bariyer, kılıcın düşmanlığını engelleyen ruhani bir uyum yaratarak işliyor.

Uyum mu? Yin ve yang mı? Wuxing'in beş elementi mi?
Bu dönemde her şeyin beş elementten oluştuğu düşünülüyordu: tahta, ateş, toprak, metal ve su. Bu nedenle, ""beş"" uyumla ilişkilendirilen bir sayıydı. Başka bir deyişle, beş tane Jizo heykeli olmalı.

Bu kasabada bu türden beş heykel mi bulunuyor? Onları bulmanın zorlu bir görev olacağını tahmin ediyorum."
D_Item_StringTable/Str_Item_Letter_MrRabbit_01_Content_P7,Got it?,Anlaşıldı mı?
D_Item_StringTable/Str_Item_Letter_ToDirector,Note for the Vice Principal,Müdür Yardımcısına Not
D_Item_StringTable/Str_Item_Letter_ToKumiko,Letter to Kumiko,Kumiko'ya Mektup
D_Item_StringTable/Str_Item_Letter_ToAibou,Letter to My Partner,Partnerime Mektup
D_Item_StringTable/Str_Item_Letter_Prescription,Prescription for My Partner,Partnerim İçin Reçete
D_Item_StringTable/Str_Item_Letter_OrigamiC,Origami of Fox Prayers,Tilki Dualarının Origamisi
D_Item_StringTable/Str_Item_Letter_FarmNote_01_Content,"Son! You better read this and get it through your thick head!

Let me take you back to something that happened during the war.

One day, some high-and-mighty military police from out of town got piss drunk and decided to kick over a statue of Inari-sama. Even spat on it.","Oğlum! Bunu okusan ve o kalın kafana soksan iyi edersin!

Seni savaş sırasında olan bir şeye götüreyim.

Bir gün, şehir dışından gelen kendini beğenmiş askeri polislerden bazıları zilzurna sarhoş oldular ve bir Inari-sama heykelini devirmeye karar verdiler. Hatta üzerine tükürdüler."
D_Item_StringTable/Str_Item_Letter_AnonymousNote_02_Content,"To whoever finds this,

Please... immediately...

...There's... here...

I beg you... help...","Bunu bulan her kimse,

Lütfen... hemen...

...Burada... bir şey var...

Yalvarıyorum... yardım edin..."
D_Item_StringTable/Str_Item_Letter_ToTeacher,Note to Teacher,Öğretmene Not
D_Item_StringTable/Str_Item_Letter_ToSantaClaus,Letter to Santa,Noel Baba'ya Mektup
D_Item_StringTable/Str_Item_Oma_Mirage_Des,Decreases enemy line of sight.,Düşmanların görüş alanını azaltır.
D_Item_StringTable/Str_Item_Letter_UncleLetter_Content_03,"Either way, you need to talk it out with Kimie first.
Knowing you, you probably haven't said a word of this to her yet, have you?

I can't cover the whole operation, but I'll send what little I have to spare.
Buy Kimie something nice with it, got it?

Shotaro","Her ne olursa olsun, önce Kimie ile konuşman gerek.
Seni tanıdığım için, muhtemelen henüz ona tek kelime etmedin, değil mi?

Ameliyatın tamamını karşılayamam ama ayırabildiğim azıcık şeyi göndereceğim.
Kimie'ye onunla güzel bir şey al, tamam mı?

Shotaro"
D_Item_StringTable/Str_Item_Con_MedKitA,Bandage,Bandaj
D_Item_StringTable/Str_Item_Key_CMN_PocketD_Des,"This embroidered drawstring bag is very high quality, from the fabric to the pattern, so be careful not to get it dirty when storing your belongings.","Bu işlemeli büzgülü çanta, kumaşından desenine kadar çok kaliteli, bu yüzden eşyalarınızı saklarken kirletmemeye dikkat edin."
D_Item_StringTable/Str_Item_Letter_ClassLog_01_Content,"In continuation from last semester, I'm to be class president once again. I hope we can make this another wonderful semester. The role of class president holds a lot of responsibilities, but I think I'm up to the task.","Geçen dönemden devamla, yine sınıf başkanı olacağım. Umarım bu dönemi de harika bir dönem yaparız. Sınıf başkanlığı rolü birçok sorumluluk taşıyor, ancak bu görevin üstesinden gelebileceğimi düşünüyorum."
